LG LN272,Older Phone,11/15/2016,$5.00,1/1/2017,$14.22,$2.60,$1.14,$5.48,A1863
LG LN272,Older Phone,11/15/2016,$5.00,1/1/2017,$14.22,$2.60,$1.14,$5.48,A1864
LG Rumor 2,Older Phone,11/15/2016,$5.00,-,$18.10,$2.60,$1.45,$9.05,A1865
Blackberry 9650,Older Phone,11/15/2016,$7.20,-,$16.16,$2.60,$1.29,$5.07,A1866
Pantech CDM8992,Older Phone,11/15/2016,$6.00,-,$20.04,$2.60,$1.60,$9.84,A1867
LG Rumor 2,Older Phone,11/15/2016,$5.00,-,$15.19,$2.60,$1.22,$6.37,A1868
Sony Ericsson W580,Older Phone,11/15/2016,$5.00,12/7/2016,$21.98,$2.60,$1.76,$12.62,A1869
Sony Ericsson W580,Older Phone,11/15/2016,$5.00,12/25/2016,$17.13,$2.60,$1.37,$8.16,A1870
Nokia 6085,Older Phone,11/15/2016,$6.00,12/31/2016,$12.27,$2.60,$0.98,$2.69,A1871
Motorola RAZR V3M,Older Phone,11/15/2016,$5.00,-,$19.07,$2.60,$1.53,$9.94,A1872
Samsung SGH-A687,Older Phone,11/15/2016,$5.00,1/7/2017,$19.07,$2.60,$1.53,$9.94,A1873
LG VN530,Older Phone,11/15/2016,$5.00,1/10/2017,$13.25,$2.60,$1.06,$4.59,A1874
LG VX9200,Older Phone,11/15/2016,$5.00,3/19/2017,$19.07,$2.60,$1.53,$9.94,A1875
Samsung SCH-U460,Older Phone,11/15/2016,$5.00,1/11/2017,$18.10,$2.60,$1.45,$9.05,A1877
Motorola RAZR V3M,Older Phone,11/15/2016,$5.00,12/27/2016,$19.07,$2.60,$1.53,$9.94,A1878
Blackberry 9650,Older Phone,11/15/2016,$7.20,1/4/2017,$16.16,$2.60,$1.29,$5.07,A1879
Blackberry 9650,Older Phone,11/15/2016,$7.20,1/12/2017,$19.07,$2.60,$1.53,$7.74,A1880
LG VX9200,Older Phone,11/15/2016,$5.00,-,$23.20,$5.60,$1.86,$10.74,A1881
Nokia 6555,Older Phone,11/15/2016,$5.00,3/22/2017,$18.10,$2.60,$1.45,$9.05,A1882
LG VX9200,Older Phone,11/15/2016,$5.00,-,$23.20,$5.60,$1.86,$10.74,A1883
Casio Ravine 2 C781,Older Phone,11/15/2016,$7.00,-,$15.19,$2.60,$1.22,$4.37,A1884
Samsung SGH-T669,Older Phone,11/15/2016,$6.00,-,$13.25,$2.60,$1.06,$3.59,A1887
Sony Ericsson W580,Older Phone,11/15/2016,$5.00,-,$17.13,$2.60,$1.37,$8.16,A1888
Motorola Droid 2 A955,Older Phone,11/15/2016,$5.00,-,$19.07,$2.60,$1.53,$9.94,A1889
Blackberry 9800,Older Phone,11/15/2016,$15.00,12/4/2016,$22.96,$2.60,$1.84,$3.52,A1890
Nokia 6555,Older Phone,11/15/2016,$5.00,12/12/2016,$18.10,$2.60,$1.45,$9.05,A1891
Motorola w755,Older Phone,11/15/2016,$5.00,12/15/2016,$21.98,$2.60,$1.76,$12.62,A1892
Blackberry 9650,Older Phone,11/15/2016,$7.20,12/15/2016,$19.07,$2.60,$1.53,$7.74,A1893
LG VX9100,Older Phone,11/15/2016,$5.00,12/16/2016,$21.98,$2.60,$1.76,$12.62,A1894
Motorola W755,Older Phone,11/15/2016,$6.00,-,$18.10,$2.60,$1.45,$8.05,A1895
Motorola W755,Older Phone,11/15/2016,$6.00,-,$18.10,$2.60,$1.45,$8.05,A1896
LG enV vx11000,Older Phone,11/15/2016,$6.00,-,$19.07,$2.60,$1.53,$8.94,A1897
LG LS670,Older Phone,11/15/2016,$5.00,-,$20.29,$2.60,$1.62,$11.07,A1898
Droid X MB810,Older Phone,11/15/2016,$6.20,12/19/2016,$13.25,$2.60,$1.06,$3.39,A1899
LG VX9200,Older Phone,11/15/2016,$5.00,12/21/2016,$20.55,$2.60,$1.64,$11.31,A1900
Blackberry 9650,Older Phone,11/15/2016,$7.20,12/22/2016,$24.17,$5.75,$1.93,$9.29,A1901
Motorola Droid A855,Older Phone,11/15/2016,$5.00,12/22/2016,$21.01,$2.60,$1.68,$11.73,A1902
Samsung SCH-U660,Older Phone,11/15/2016,$5.00,12/22/2016,$13.25,$2.60,$1.06,$4.59,A1903
Samsung SPH-M540,Older Phone,11/15/2016,$5.00,11/29/2016,$21.26,$5.65,$1.70,$8.91,A1904
Nokia 6555,Older Phone,11/15/2016,$5.00,12/23/2016,$18.10,$2.60,$1.45,$9.05,A1905
Casio Ravine C751,Older Phone,11/15/2016,$7.00,-,$27.81,$2.60,$2.22,$15.99,A1906
Samsung SCH-U660,Older Phone,11/15/2016,$5.00,-,$13.25,$2.60,$1.06,$4.59,A1907
HTC Nexus One PB99100,Older Phone,11/15/2016,$20.00,-,$34.61,$2.60,$2.77,$9.24,A1908
Motorola W755,Older Phone,11/15/2016,$6.00,-,$21.98,$2.60,$1.76,$11.62,A1909
Nokia 6085,Older Phone,11/15/2016,$6.00,11/28/2016,$88.84,$11.95,$7.11,$63.78,A1910
Nokia 6085,Older Phone,11/15/2016,$6.00,11/29/2016,,,$0.00,($6.00),A1911
Nokia 6085,Older Phone,11/15/2016,$6.00,11/29/2016,,,$0.00,($6.00),A1912
Nokia 6085,Older Phone,11/15/2016,$6.00,11/30/2016,,,$0.00,($6.00),A1913
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,11/30/2016,$517.68,$23.90,$41.41,$442.37,A1914
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,12/1/2016,,,$0.00,($10.00),A1915
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,12/3/2016,,,$0.00,($10.00),A1916
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,-,,,$0.00,($10.00),A1917
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,-,,,$0.00,($10.00),A1918
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,-,,,$0.00,($10.00),A1919
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,1/31/2017,,,$0.00,($10.00),A1920
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,12/5/2016,,,$0.00,($10.00),A1921
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,12/5/2016,,,$0.00,($10.00),A1922
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,12/19/2016,,,$0.00,($10.00),A1923
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,-,,,$0.00,($10.00),A1924
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,-,,,$0.00,($10.00),A1925
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,1/19/2017,,,$0.00,($10.00),A1926
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,1/30/2017,,,$0.00,($10.00),A1927
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,1/30/2017,,,$0.00,($10.00),A1928
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,2/12/2017,,,$0.00,($10.00),A1929
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,2/16/2017,,,$0.00,($10.00),A1930
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,-,,,$0.00,($10.00),A1931
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,-,,,$0.00,($10.00),A1932
Motorola i355 Nextel,Older Phone,11/15/2016,$10.00,-,,,$0.00,($10.00),A1933
Samsung SGH-T669,Older Phone,11/15/2016,$6.00,-,$21.98,$2.60,$1.76,$11.62,A1939
Samsung SGH-A797,Older Phone,11/15/2016,$5.00,-,$36.50,$3.55,$2.92,$25.03,A1940
Samsung SGH-A797,Older Phone,11/15/2016,$5.00,-,,,$0.00,($5.00),A1941
LG VX9100,Older Phone,11/15/2016,$5.00,-,$44.75,$6.62,$3.58,$29.55,A1942
LG VX9100,Older Phone,11/15/2016,$5.00,-,,$6.62,$0.00,($11.62),A1943
Blackberry 9650,Older Phone,11/15/2016,$7.20,-,$18.10,$2.60,$1.45,$6.85,A1944
Samsung SCH-U660,Older Phone,11/15/2016,$9.00,-,$13.25,$2.60,$1.06,$0.59,A1945
Nokia 6085,Older Phone,11/15/2016,$6.00,-,$21.98,$2.60,$1.76,$11.62,A1946
Motorola Moto X,Smart Phone,11/15/2016,$30.00,-,$62.12,$2.60,$4.97,$24.55,A1947
Nokia 6555,Older Phone,11/15/2016,$5.00,12/21/2016,$18.10,$2.60,$1.45,$9.05,A1948
LG VX9200,Older Phone,11/15/2016,$5.00,12/25/2016,$19.07,$2.60,$1.53,$9.94,A1949
Blackberry 9800,Older Phone,11/15/2016,$15.00,1/2/2017,$22.96,$2.60,$1.84,$3.52,A1950
Motorola Droid A855,Older Phone,11/15/2016,$5.00,1/14/2017,$21.01,$2.60,$1.68,$11.73,A1951
Nokia 6555,Older Phone,11/15/2016,$5.00,-,$14.22,$2.60,$1.14,$5.48,A1952
Motorola RAZR V3M,Older Phone,11/15/2016,$5.00,-,$19.07,$2.60,$1.53,$9.94,A1953
Nokia 6085,Older Phone,11/15/2016,$6.00,-,$12.27,$2.60,$0.98,$2.69,A1954
Blackberry 9650,Older Phone,11/15/2016,$7.20,-,$20.04,$2.60,$1.60,$8.64,A1955
Blackberry 9800,Older Phone,11/15/2016,$15.00,-,$22.96,$2.60,$1.84,$3.52,A1956
Samsung SPH-M540,Older Phone,11/15/2016,$5.00,-,$17.13,$2.60,$1.37,$8.16,A1957
Casio Ravine C751,Older Phone,12/4/2016,$7.00,12/17/2016,$15.19,$2.60,$1.22,$4.37,A1979
HTC Nexus One PB99100,Older Phone,12/4/2016,$20.00,12/21/2016,$34.61,$2.60,$2.77,$9.24,A1980
Droid XT912,Smart Phone,12/4/2016,$20.00,12/23/2016,$39.46,$2.60,$3.16,$13.70,A1981
Motorola W755,Older Phone,12/4/2016,$6.00,12/24/2016,$13.25,$2.60,$1.06,$3.59,A1982
LG Rumor 2,Older Phone,12/4/2016,$6.00,12/26/2016,$25.87,$2.60,$2.07,$15.20,A1983
LG VX9200,Older Phone,12/4/2016,$5.00,12/29/2016,$19.07,$2.60,$1.53,$9.94,A1984
Nokia 6555,Older Phone,12/4/2016,$5.00,1/5/2017,$14.22,$2.60,$1.14,$5.48,A1985
Blackberry 9650,Older Phone,12/4/2016,$7.20,1/5/2017,$12.27,$2.60,$0.98,$1.49,A1986
Droid XT912,Smart Phone,12/5/2016,$20.00,12/12/2016,$28.48,$2.60,$2.28,$3.60,A1987
Droid X MB810,Older Phone,12/5/2016,$6.20,1/7/2017,$21.01,$2.60,$1.68,$10.53,A1988
Samsung SCH-U460,Older Phone,12/5/2016,$5.00,1/9/2017,$21.98,$2.60,$1.76,$12.62,A1989
Motorola W385,Older Phone,12/5/2016,$5.00,1/14/2017,$21.01,$2.60,$1.68,$11.73,A1990
LG enV vx11000,Older Phone,12/5/2016,$6.00,-,$22.96,$2.60,$1.84,$12.52,A1991
LG VX9200,Older Phone,12/5/2016,$5.00,-,$19.07,$2.60,$1.53,$9.94,A1992
LG VX11000,Older Phone,12/5/2016,$5.00,1/20/2017,$15.19,$2.60,$1.22,$6.37,A1993
Blackberry 9650,Older Phone,12/5/2016,$7.20,12/26/2016,$19.07,$2.60,$1.53,$7.74,A1994
Droid XT912,Smart Phone,12/5/2016,$20.00,1/29/2017,$48.20,$2.60,$3.86,$21.74,A1995
Casio Ravine C751,Older Phone,12/5/2016,$7.00,-,$15.19,$2.60,$1.22,$4.37,A1996
LG A340,Older Phone,12/6/2016,$5.00,12/30/2016,$21.01,$2.60,$1.68,$11.73,A1997
Droid X2,Older Phone,12/6/2016,$10.00,1/5/2017,$27.81,$2.60,$2.22,$12.99,A1998
LG Rumor 2,Older Phone,12/6/2016,$6.00,1/11/2017,$20.04,$2.60,$1.60,$9.84,A1999
Blackberry 9650,Older Phone,12/6/2016,$7.20,1/21/2017,$20.04,$2.60,$1.60,$8.64,A2000
Motorola W755,Older Phone,12/6/2016,$6.00,3/25/2017,$13.25,$2.60,$1.06,$3.59,A2001
Blackberry 9650,Older Phone,12/6/2016,$7.20,12/27/2016,$16.16,$2.60,$1.29,$5.07,A2002
Motorola W755,Older Phone,12/6/2016,$6.00,12/29/2016,$21.98,$2.60,$1.76,$11.62,A2003
Samsung SGH-A687,Older Phone,12/6/2016,$5.00,1/12/2017,$23.93,$2.60,$1.91,$14.42,A2004
Casio Ravine 2 C781,Older Phone,12/6/2016,$7.00,1/15/2017,$24.90,$2.60,$1.99,$13.31,A2005
Samsung SCH-U750,Older Phone,12/6/2016,$5.00,1/20/2017,$27.81,$2.60,$2.22,$17.99,A2006
Samsung SGH-A817,Older Phone,12/6/2016,$6.00,1/22/2017,$18.10,$2.60,$1.45,$8.05,A2007
Samsung SCH-U660,Older Phone,12/6/2016,$9.00,1/25/2017,$17.37,$5.45,$1.39,$1.53,A2008
LG LS670,Older Phone,12/6/2016,$5.00,1/29/2017,$21.01,$2.60,$1.68,$11.73,A2009
HTC Vivid,Older Phone,12/6/2016,$20.00,1/29/2017,$19.07,$2.60,$1.53,($5.06),A2010
Samsung SCH-U450,Older Phone,12/6/2016,$5.00,2/2/2017,$20.29,$5.45,$1.62,$8.22,A2011
Droid X MB810,Older Phone,12/6/2016,$6.20,2/2/2017,$21.01,$2.60,$1.68,$10.53,A2012
LG VX9200,Older Phone,12/6/2016,$5.00,2/12/2017,$19.07,$2.60,$1.53,$9.94,A2013
Motorola W755,Older Phone,12/6/2016,$6.00,2/18/2017,$13.25,$2.60,$1.06,$3.59,A2014
Samsung SPH-M540,Older Phone,12/6/2016,$5.00,12/27/2016,$17.13,$2.60,$1.37,$8.16,A2015
Samsung SGH-A927,Older Phone,12/6/2016,$5.00,-,$23.93,$2.60,$1.91,$14.42,A2016
Droid X MB810,Older Phone,12/6/2016,$6.20,-,$21.01,$2.60,$1.68,$10.53,A2017
Nokia 6085,Older Phone,12/6/2016,$6.00,-,$12.27,$2.60,$0.98,$2.69,A2018
Pantech CDM8992,Older Phone,12/6/2016,$6.00,-,$20.04,$2.60,$1.60,$9.84,A2019
LG LS670,Older Phone,12/6/2016,$5.00,-,$21.01,$2.60,$1.68,$11.73,A2020
Blackberry 9650,Older Phone,12/6/2016,$7.20,-,$20.04,$2.60,$1.60,$8.64,A2021
Blackberry 9800,Older Phone,12/6/2016,$15.00,-,$16.16,$2.60,$1.29,($2.73),A2022
Casio Ravine 2 C781,Older Phone,12/6/2016,$7.00,-,$26.79,$2.60,$2.14,$15.05,A2023
Samsung SGH-T669,Older Phone,12/6/2016,$6.00,-,$18.10,$2.60,$1.45,$8.05,A2024
Motorola Droid A855,Older Phone,12/6/2016,$5.00,-,$21.01,$2.60,$1.68,$11.73,A2025
Samsung SPH-M540,Older Phone,12/6/2016,$5.00,-,$17.13,$2.60,$1.37,$8.16,A2026
Pantech C520,Older Phone,12/6/2016,$5.00,-,$13.25,$2.60,$1.06,$4.59,A2027
Pantech P7040,Older Phone,12/6/2016,$5.00,1/10/2017,$21.01,$2.60,$1.68,$11.73,A2028
Samsung SCH-U820,Older Phone,12/6/2016,$5.00,1/18/2017,$18.10,$2.60,$1.45,$9.05,A2029
Motorola Droid A855,Older Phone,12/6/2016,$5.00,1/19/2017,$21.01,$2.60,$1.68,$11.73,A2030
Samsung SGH-T379,Older Phone,12/6/2016,$5.00,1/20/2017,$19.07,$2.60,$1.53,$9.94,A2031
Blackberry 9650,Older Phone,12/6/2016,$7.20,1/20/2017,$32.62,$3.55,$2.61,$19.26,A2032
Blackberry 9650,Older Phone,12/6/2016,$7.20,-,,,$0.00,($7.20),A2033
Samsung SCH-U460,Older Phone,12/6/2016,$5.00,-,$18.10,$2.60,$1.45,$9.05,A2034
Samsung SCH-U660,Older Phone,12/6/2016,$9.00,12/26/2016,$26.79,$3.55,$2.14,$12.10,A2035
Samsung SCH-U660,Older Phone,12/6/2016,$9.00,12/27/2016,,,$0.00,($9.00),A2036
Casio Ravine C751,Older Phone,12/6/2016,$7.00,-,$15.19,$2.60,$1.22,$4.37,A2037
Motorola Droid A855,Older Phone,12/6/2016,$5.00,-,$25.14,$5.55,$2.01,$12.58,A2038
LG VX11000,Older Phone,12/6/2016,$5.00,-,$15.19,$2.60,$1.22,$6.37,A2039
Pantech CDM8992,Older Phone,12/6/2016,$6.00,-,$20.04,$2.60,$1.60,$9.84,A2040
LG VX9200,Older Phone,12/6/2016,$5.00,-,$23.20,$5.55,$1.86,$10.79,A2041
Motorola Droid A855,Older Phone,12/6/2016,$5.00,-,$17.13,$2.60,$1.37,$8.16,A2043
Samsung SCH-U660,Older Phone,12/6/2016,$9.00,-,$14.26,$2.60,$1.14,$1.52,A2044
Blackberry 9800,Older Phone,12/6/2016,$15.00,-,$22.96,$2.60,$1.84,$3.52,A2045
HTC Vivid,Older Phone,12/6/2016,$20.00,-,$22.96,$2.60,$1.84,($1.48),A2046
Samsung SGH-A687,Older Phone,12/6/2016,$5.00,-,$41.36,$3.55,$3.31,$29.50,A2047
Samsung SGH-A687,Older Phone,12/6/2016,$5.00,12/31/2016,$0.00,,$0.00,($5.00),A2048
HTC Nexus One PB99100,Older Phone,12/6/2016,$20.00,-,$34.61,$2.60,$2.77,$9.24,A2049
Motorola W755,Older Phone,12/6/2016,$6.00,-,$13.25,$2.60,$1.06,$3.59,A2050
LG VX9200,Older Phone,12/6/2016,$5.00,-,$16.16,$2.60,$1.29,$7.27,A2051
Casio Ravine C751,Older Phone,12/6/2016,$7.00,-,$25.75,$2.60,$2.06,$14.09,A2052
Droid A855,Older Phone,12/6/2016,$5.00,-,$17.13,$2.60,$1.37,$8.16,A2053
Samsung SGH-A737,Older Phone,12/6/2016,$5.00,-,$18.10,$2.60,$1.45,$9.05,A2054
Blackberry 9650,Older Phone,12/6/2016,$7.20,-,$23.20,$5.55,$1.86,$8.59,A2055
Motorola W755,Older Phone,12/6/2016,$6.00,-,$21.98,$2.60,$1.76,$11.62,A2056
Samsung SCH-U740,Older Phone,12/6/2016,$5.00,-,$23.93,$2.60,$1.91,$14.42,A2057
Samsung SGH-A817,Older Phone,12/6/2016,$6.00,-,$21.98,$2.60,$1.76,$11.62,A2058
Droid A855,Older Phone,12/6/2016,$5.00,-,$17.13,$2.60,$1.37,$8.16,A2059
Sony Ericsson W580,Older Phone,12/6/2016,$5.00,-,$21.98,$2.60,$1.76,$12.62,A2060
Motorola W385,Older Phone,12/6/2016,$5.00,-,$21.01,$2.60,$1.68,$11.73,A2061
Motorola W385,Older Phone,12/6/2016,$5.00,-,$16.16,$2.60,$1.29,$7.27,A2062
LG VX9200,Older Phone,12/6/2016,$5.00,-,$19.07,$2.60,$1.53,$9.94,A2063
Samsung SGH-T379,Older Phone,12/6/2016,$5.00,-,$20.29,$2.60,$1.62,$11.07,A2064
Samsung SGH-A687,Older Phone,12/6/2016,$5.00,-,$19.07,$2.60,$1.53,$9.94,A2065
Blackberry 9800,Older Phone,12/6/2016,$15.00,-,$16.16,$2.60,$1.29,($2.73),A2066
LG VX9100,Older Phone,12/6/2016,$5.00,-,$9.36,$2.60,$0.75,$1.01,A2067
Droid A855,Older Phone,12/6/2016,$5.00,-,$17.13,$2.60,$1.37,$8.16,A2068
Samsung SGH-A927,Older Phone,12/6/2016,$5.00,-,$23.93,$2.60,$1.44,$14.89,A2069
Motorola W755,Older Phone,12/6/2016,$6.00,-,$13.25,$2.60,$1.06,$3.59,A2070
Motorola W385,Older Phone,12/6/2016,$5.00,2/11/2017,$16.16,$2.60,$1.29,$7.27,A2071
Blackberry 9650,Older Phone,12/6/2016,$7.20,-,$16.16,$2.60,$1.29,$5.07,A2072
LG LN272,Older Phone,12/6/2016,$5.00,-,$19.07,$2.60,$1.53,$9.94,A2073
Blackberry 9650,Older Phone,12/6/2016,$7.20,-,$20.04,$2.60,$1.60,$8.64,A2074
Blackberry 9930,Older Phone,12/6/2016,$15.00,-,$32.91,$5.55,$2.63,$9.73,A2075
